NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio;0;1
Batatrailer;https://www.ifood.com.br/delivery/igarassu-pe/batatrailer-cruz-do-reboucas/191cf549-72b0-4a86-bb49-356c8679d998;Avenida Barão de Vera Cruz, 800 - Cruz do Rebouças;Igarassu - PE;53625-015;28.394.154/0001-24;['Segunda-feira - 16:30 às 22:30', 'Terça-feira - 16:30 às 22:30', 'Quarta-feira - 16:30 às 22:30', 'Quinta-feira - 16:30 às 22:30', 'Sexta-feira - 16:30 às 22:30', 'Sábado - 16:30 às 22:30', 'Domingo - 16:30 às 22:30'];['refrigerante', 'minis (1)', 'batatas (1)', 'burgueres artesanais', 'baguetes', 'combos', 'gelados (1)', 'coxinhas (1)', 'beirutes'];;
Bella - Milk Shake, Açaí e Lanches;https://www.ifood.com.br/delivery/igarassu-pe/bella---milk-shake-acai-e-lanches-cruz-do-reboucas/facee11e-b875-4ade-ae83-39a4e031038f;R Luciana Paiva de Souza (lot. Tapajos), 25 - Cruz do Reboucas;Igarassu - PE;53635-170;31.323.871/0001-70;['Segunda-feira - 14:00 às 23:00', 'Terça-feira - 14:00 às 23:00', 'Quarta-feira - 14:00 às 23:00', 'Quinta-feira - 14:00 às 23:00', 'Sexta-feira - 14:00 às 23:00', 'Sábado - 14:00 às 23:00', 'Domingo - 14:00 às 23:00'];['milkshake', 'açaí', 'refrigerante'];;
Copinos Gelateria e Comedoria;https://www.ifood.com.br/delivery/igarassu-pe/copinos-gelateria-e-comedoria-cruz-do-reboucas/ee2ce303-c9f3-440d-8679-4b308f131afb;Rua Luciana Paiva de Souza, 23 - Cruz do Rebouças;Igarassu - PE;53635-170;38.105.556/0001-15;['Segunda-feira - 16:00 às 22:30', 'Terça-feira - 16:00 às 22:30', 'Quarta-feira - 16:00 às 22:30', 'Quinta-feira - 16:00 às 22:30', 'Sexta-feira - 16:00 às 23:00', 'Sábado - 16:00 às 23:00', 'Domingo - 16:00 às 22:30'];['açaí', 'sorvete', 'sobremesas', 'cuscuz', 'batata', 'salgados', 'sanduiches', 'bebidas'];;
Milly Comercio & Refeição;https://www.ifood.com.br/delivery/igarassu-pe/milly-comercio--refeicao-triunfo/af8937a4-e7ca-48d2-b859-9938f6482464;Rua Frei Miguelinho, 9 - Triunfo;Igarassu - PE;53625-735;22.202.391/0001-60;['Segunda-feira - 10:00 às 16:30 - 18:00 às 23:00', 'Terça-feira - 10:00 às 16:00 - 18:00 às 23:00', 'Quarta-feira - 10:00 às 16:00 - 18:00 às 22:00', 'Quinta-feira - 10:00 às 16:00 - 18:00 às 23:00', 'Sexta-feira - 10:00 às 16:00 - 18:00 às 23:00', 'Sábado - 10:15 às 16:00', 'Domingo - 10:15 às 16:15'];['embalagem extra', 'monte sua quentinha', 'almoço', 'sobremesa', 'bebida', 'jantar', 'petisco', 'porção', 'sopa', 'sucos 500ml', 'tapioca recheada', 'quaresma', 'panqueca de carne'];;
Lex Salgados;https://www.ifood.com.br/delivery/igarassu-pe/lex-salgados-cruz-do-reboucas/ce492a50-b874-4eb8-986f-a79c2681fd19;Rua Luciana Paiva de Souza, 266 - Cruz do Rebouças;Igarassu - PE;53635-170;45.087.927/0001-49;['Segunda-feira - 16:00 às 23:00', 'Terça-feira - 16:00 às 23:00', 'Quarta-feira - 16:00 às 23:00', 'Quinta-feira - 16:00 às 23:00', 'Sexta-feira - 16:00 às 23:00', 'Sábado - 16:00 às 23:00', 'Domingo - 16:00 às 23:00'];['destaques', 'mini salgados', 'mini churros', 'bolo no pote/fatia', 'salgados/doces', 'mini combos', 'combos com refrigerante', 'combos sem refrigerante', 'batata frita', 'açai', 'combo festa', 'bebidas'];;
Pizzaria e Padaria Ebenezer;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-e-padaria-ebenezer-cruz-do-reboucas/6a53acc6-42d5-468c-877f-f3fd1990f3e3;Rua Luciana Paiva de Souza, 381 - Cruz do Rebouças;Igarassu - PE;53635-170;10.486.089/0001-00;['Segunda-feira - 18:00 às 22:30', 'Terça-feira - 18:00 às 22:00', 'Quarta-feira - 18:00 às 22:30', 'Quinta-feira - 18:00 às 22:30', 'Sexta-feira - 18:00 às 22:00', 'Sábado - 18:00 às 22:30', 'Domingo - 18:00 às 22:30'];['pizzas', 'pizzas doces', 'sanduíches', 'a la carte', 'comida chinesa', 'bebidas'];;
Tapiocaria e Pizzaria Dekas;https://www.ifood.com.br/delivery/igarassu-pe/tapiocaria-e-pizzaria-dekas-santo-antonio/c466f0ad-fc3d-4ce2-bb34-3a643ebb78fe;Rua Verdejante, 12 - Santo Antônio;Igarassu - PE;53630-457;48.158.926/0001-36;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 17:00 às 22:30', 'Quinta-feira - 17:00 às 22:30', 'Sexta-feira - 17:00 às 22:30', 'Sábado - 17:00 às 22:30', 'Domingo - 18:00 às 22:30'];['pizzas g 8 fatias', 'hambúrguer artesanal', 'hambúrguer tradicional', 'salgados', 'batata frita', 'açaí', 'bebidas'];;
T L Refeicoes;https://www.ifood.com.br/delivery/igarassu-pe/t-l-refeicoes-inhama/764fe8dc-9c58-4b2c-b736-0ed478efc033;Rua Frei Miguelinho, 299 - Inhamã;Igarassu - PE;53625-813;44.301.832/0001-13;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 11:30 às 15:00 - 18:00 às 21:30', 'Quinta-feira - 11:30 às 15:00 - 18:00 às 21:30', 'Sexta-feira - 11:30 às 15:00 - 18:00 às 21:30', 'Sábado - 11:30 às 15:00 - 18:00 às 21:30', 'Domingo - 11:30 às 14:30'];['pratos individuais  (1 pessoa)', 'pratos econômicos (1 pessoa)', 'bebidas'];;
Bababa Açaí;https://www.ifood.com.br/delivery/igarassu-pe/bababa-acai-cruz-do-reboucas/35111a06-175d-40c5-80b7-dbd341d7de77;Avenida Barão de Vera Cruz, 4120 - Cruz do Rebouças;Igarassu - PE;53625-015;47.167.264/0001-06;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 16:15 às 20:30', 'Sexta-feira - 16:15 às 20:00', 'Sábado - Não abre', 'Domingo - 13:00 às 20:30'];['açaí gourmet'];;
Mini Coxinha da Ivonny;https://www.ifood.com.br/delivery/igarassu-pe/mini-coxinha-da-ivonny-santo-antonio/e27b2bee-a37e-4fa6-bc6b-3d27f8f31453;Rua Vertentes, 5 - Santo Antônio;Igarassu - PE;53630-450;43.762.162/0001-70;['Segunda-feira - Não abre', 'Terça-feira - 16:00 às 21:45', 'Quarta-feira - 16:00 às 21:45', 'Quinta-feira - 16:00 às 21:45', 'Sexta-feira - 16:00 às 21:45', 'Sábado - 16:00 às 21:45', 'Domingo - 16:00 às 21:45'];['destaques', 'batata frita', 'cachorro quente', 'mini churros', 'combo cliente', 'combos de hambúrguer', 'hambúrguer'];;
Circo Burger;https://www.ifood.com.br/delivery/igarassu-pe/circo-burger-cruz-do-reboucas/6f906b75-0e53-4274-bdbf-b4bcf26df83e;Rua Casticiano Galvão, 40 - Cruz do Rebouças;Igarassu - PE;53635-160;18.537.196/0001-13;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['bebidas', 'almoço (até 15h)', 'açai', 'acompanhamentos', 'linha trad', 'linha natural burger', 'linha prime'];;
Acaí dos Sonhos;https://www.ifood.com.br/delivery/igarassu-pe/acai-dos-sonhos-santo-antonio/288d4745-eca3-489e-a02a-034b09590f03;Rua Bahia, 322 - Santo Antônio;Igarassu - PE;53630-563;42.376.648/0001-07;['Segunda-feira - 18:00 às 22:45', 'Terça-feira - 16:00 às 17:00', 'Quarta-feira - 18:00 às 22:45', 'Quinta-feira - 18:00 às 22:45', 'Sexta-feira - 17:45 às 22:45', 'Sábado - 17:45 às 23:00', 'Domingo - 17:00 às 23:00'];['açaí', 'sorvete', 'cupuaçu', 'meio a meio', 'monte açaí'];;
Igarassu Cacau;https://www.ifood.com.br/delivery/igarassu-pe/igarassu-cacau-santa-maria/f9b6e7a3-9654-478a-bc13-daa018c34cce;Rua João Amazonas, 59 - Santa Maria;Igarassu - PE;53635-675;42.830.255/0001-21;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['cacau show - trufas e tabletes', 'barras de chocolate - cacau show'];;
Aqui Tem Cheiro & Sabor- Espetinho, Salgadinho, Salgados;https://www.ifood.com.br/delivery/igarassu-pe/aqui-tem-cheiro--sabor--espetinho-salgadinho-salgados-inhama/71f1fb5a-5453-4294-9903-5ffe0e3d86ab;Rua Jose Mario Dias, 104 - Inhama;Igarassu - PE;53600-000;46.336.461/0001-30;['Segunda-feira - 17:00 às 23:00', 'Terça-feira - Não abre', 'Quarta-feira - 17:00 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['burguer artesanal', 'espetinhos bovino', 'espetinhos queijo', 'espetinho de frango', 'espetinhos suíno', 'bebidas', 'cerveja', 'vinho e drinks prontos', 'água e sucos'];;
Home Burger;https://www.ifood.com.br/delivery/igarassu-pe/home-burger-ana-de-albuquerque/cb2919ec-2c77-4be1-b00f-3f611b146e37;Rua Paraíba, 55 - Ana de Albuquerque;Igarassu - PE;53630-115;41.119.740/0001-29;['Segunda-feira - 17:00 às 22:00', 'Terça-feira - 14:00 às 23:00', 'Quarta-feira - 15:00 às 23:00', 'Quinta-feira - 14:00 às 23:00', 'Sexta-feira - 14:00 às 23:00', 'Sábado - 16:00 às 23:00', 'Domingo - 16:00 às 23:00'];['bebidas'];;
Pizzaria Sensacao;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-sensacao-saramandaia/165f94bf-6e6c-47ca-b76c-de23c51caf20;53620615, 5 - Saramandaia;Igarassu - PE;53620-615;40.302.182/0001-70;['Segunda-feira - 17:00 às 23:00', 'Terça-feira - 17:00 às 23:00', 'Quarta-feira - 17:00 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:45', 'Sábado - 17:00 às 23:59', 'Domingo - 17:00 às 23:00'];['bebidas', 'borda', 'pesticos', 'pizza (g)', 'esfirra aberta'];;
Kelly Restaurante;https://www.ifood.com.br/delivery/igarassu-pe/kelly-restaurante-posto-de-monta/2d0c98e1-beaf-4330-8816-bdf837befa5b;Rua Dois, 42 - Posto de Monta;Igarassu - PE;53620-718;13.162.694/0001-05;['Segunda-feira - Não abre', 'Terça-feira - 10:00 às 14:30 - 17:00 às 21:00', 'Quarta-feira - 10:00 às 14:30 - 17:00 às 21:00', 'Quinta-feira - 10:00 às 14:30 - 17:00 às 21:00', 'Sexta-feira - 10:00 às 14:30 - 17:00 às 21:00', 'Sábado - 10:00 às 14:30 - 17:00 às 21:00', 'Domingo - 10:00 às 14:45'];['menu especial', 'novidade 1', 'marmita', 'sobremesa', 'refrigerante', 'sorvete'];;
Presidente Burguer;https://www.ifood.com.br/delivery/igarassu-pe/presidente-burguer-saramandaia/c159bba9-e60f-4f16-af69-88e26f319870;Avenida Vinte e Sete de Setembro Prefeito Jurandir Bezerra, 46 - Saramandaia;Igarassu - PE;53620-610;37.996.120/0001-09;['Segunda-feira - 17:00 às 23:00', 'Terça-feira - Não abre', 'Quarta-feira - 17:00 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 17:00 às 23:00', 'Domingo - 17:00 às 23:00'];['destaques', 'especiais burguer', 'hambúrgueres', 'combos individuais', 'combos p/ 2 pessoas', 'baguetes', 'cachorro quente', 'açaís', 'sucos', 'guaraná do amazonas', 'refrigerantes', 'cervejas', 'água'];;
Fanatico' S Hambúrguer & Pizza;https://www.ifood.com.br/delivery/igarassu-pe/fanatico-s-hamburguer--pizza-saramandaia/607d55c6-9a3d-434d-80d8-e57d35919276;Rua Vereador Walfrido Uchôa Cavalcante, 369 - Saramandaia;Igarassu - PE;53620-545;30.725.178/0001-60;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['combos', 'salgados', 'bebidas', 'hamburguer', 'hambúrgueres artesanais'];;
Doce Morena;https://www.ifood.com.br/delivery/igarassu-pe/doce-morena-saramandaia/a2626134-9d42-4178-98ce-1509fa4dbe61;Avenida Agro Industrial de Igarassu, 103 - Saramandaia;Igarassu - PE;53620-436;46.380.565/0001-42;['Segunda-feira - 08:00 às 21:00', 'Terça-feira - 11:00 às 20:00', 'Quarta-feira - 11:00 às 20:00', 'Quinta-feira - 11:00 às 20:00', 'Sexta-feira - 11:00 às 20:00', 'Sábado - 11:00 às 20:00', 'Domingo - 11:00 às 20:00'];['doce de frutas no pote'];;
Cheirinho de Vó Picolés Gourmet;https://www.ifood.com.br/delivery/igarassu-pe/cheirinho-de-vo-picoles-gourmet-saramandaia/c4f2e78b-1514-464c-9ecc-16a515de2c17;Rua José Sebastião de Oliveira, 61 - Saramandaia;Igarassu - PE;53620-650;40.222.216/0001-16;['Segunda-feira - 08:45 às 23:00', 'Terça-feira - 08:30 às 23:00', 'Quarta-feira - 06:00 às 21:00', 'Quinta-feira - 14:15 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 13:00 às 23:00', 'Domingo - 06:00 às 15:30'];['destaques', 'dindin gourmet trufados', 'picolés gourmet premium', 'picolés gourmet tradicionais (1)'];;
Rogerio Pizza's;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rogerio-pizzas-desterro/7ab6e09b-8459-427b-aacd-78ec754dc41b;Rua Princesa Isabel, 8 - Desterro;Abreu e Lima - PE;53570-027;47.037.206/0001-50;['Segunda-feira - Não abre', 'Terça-feira - 17:00 às 22:00', 'Quarta-feira - 17:00 às 22:00', 'Quinta-feira - 17:00 às 22:00', 'Sexta-feira - 17:00 às 22:00', 'Sábado - 17:00 às 22:00', 'Domingo - 17:00 às 22:00'];['pizzas salgadas', 'pizzas doces', 'calzone', 'refrigerante'];;
Big Big II;https://www.ifood.com.br/delivery/igarassu-pe/big-big-ii-saramandaia/eda7312f-1815-4d27-8c9c-d110391ab643;Rua Aldo Senna Acioli, 55 - Saramandaia;Igarassu - PE;53620-525;40.919.827/0001-18;['Segunda-feira - 00:00 às 23:59', 'Terça-feira - 00:00 às 23:59', 'Quarta-feira - 00:00 às 23:59', 'Quinta-feira - 00:00 às 23:59', 'Sexta-feira - 00:00 às 23:59', 'Sábado - 00:00 às 23:59', 'Domingo - 00:00 às 23:59'];['cachorro quente de 40 cm', 'cachorro quente 15 cm', 'hambúrgueres', 'batata frita', 'refrigerantes', 'tapioca 30 cm tamanho familia', 'tapioca 15 cm', 'combos', 'coxinha de batata'];;
Pizzaria do Grau;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-do-grau-igarassu/a1b7bd05-0c4a-4619-aac5-924a81b6f2df;Rua do Governador, 15 - Igarassu;Igarassu - PE;53600-000;34.455.247/0001-14;['Segunda-feira - 17:30 às 23:00', 'Terça-feira - 17:30 às 23:00', 'Quarta-feira - 17:30 às 23:00', 'Quinta-feira - 17:30 às 23:00', 'Sexta-feira - 17:30 às 23:00', 'Sábado - 17:30 às 21:00', 'Domingo - 17:30 às 23:00'];['refrigerantes', 'pizzas tradicionais🏻'];;
Rainha dos Espetos;https://www.ifood.com.br/delivery/igarassu-pe/rainha-dos-espetos-agamenon-magalhaes/688d3701-4109-49f2-988e-9a29c5d727bd;Sucupira Lot Pqr Igarassu, 101 - Agamenon Magalhaes;Igarassu - PE;53640-092;34.402.344/0001-49;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 22:30', 'Quarta-feira - 18:00 às 23:30', 'Quinta-feira - 18:00 às 22:30', 'Sexta-feira - 18:00 às 22:30', 'Sábado - 18:00 às 23:59', 'Domingo - 18:00 às 22:30'];['espetos', 'acompanhamentos', 'açai', 'bebidas', 'caldinho', 'cuscuz recheado', 'sopa', 'petiscos', 'hot dog'];;
Capital do Sabor;https://www.ifood.com.br/delivery/igarassu-pe/capital-do-sabor-centro/0799a590-c3ff-435e-abbd-82c2c6764a9c;Rua Santo Antônio, 282 - Centro;Igarassu - PE;53610-286;47.355.553/0001-20;['Segunda-feira - Não abre', 'Terça-feira - 17:45 às 23:00', 'Quarta-feira - 17:45 às 22:45', 'Quinta-feira - 17:45 às 23:00', 'Sexta-feira - 17:45 às 23:59', 'Sábado - 17:45 às 22:45', 'Domingo - 16:45 às 21:45'];['lanchonete', 'pizzas'];;
Fast Burger;https://www.ifood.com.br/delivery/igarassu-pe/fast-burger-agamenon-magalhaes/0a4ef71c-aa46-4d7c-90f0-ed0ac2cddbae;Rua Santa Terezinha, 59 - Agamenon Magalhães;Igarassu - PE;53640-182;45.801.684/0001-69;['Segunda-feira - Não abre', 'Terça-feira - 17:00 às 23:00', 'Quarta-feira - 17:00 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 17:00 às 23:00', 'Domingo - 17:00 às 23:00'];['pegue seu código com 10$ de desconto', 'burgers', 'burgers duplo', 'porções', 'bebidas'];;
Yoga Comida Japonesa Delivery;https://www.ifood.com.br/delivery/abreu-e-lima-pe/yoga-comida-japonesa-delivery-alto-sao-miguel/b35ba8f1-4d25-42e5-9c05-bdb974dedab7;Casa, 1169 - Alto São Miguel;Abreu e Lima - PE;53565-380;27.618.635/0001-03;['Segunda-feira - 17:30 às 23:30', 'Terça-feira - 17:30 às 23:30', 'Quarta-feira - 17:30 às 23:30', 'Quinta-feira - 17:30 às 23:30', 'Sexta-feira - 17:30 às 23:30', 'Sábado - 13:30 às 23:30', 'Domingo - 11:00 às 23:30'];['destaques', 'combinados ', 'sushi', 'sashimi', 'hossomakis', 'cariocas', 'hot roll', 'especiais', 'promoção'];;
Japa Sette e Pizza Sette;https://www.ifood.com.br/delivery/abreu-e-lima-pe/japa-sette-e-pizza-sette-centro/a9cb9d46-2180-476a-bd68-48bd4d148605;Avenida Duque de Caxias, 1130 - Centro;Abreu e Lima - PE;53510-050;42.203.227/0001-84;['Segunda-feira - 11:00 às 22:30', 'Terça-feira - 11:00 às 22:30', 'Quarta-feira - 11:00 às 22:30', 'Quinta-feira - 11:00 às 22:30', 'Sexta-feira - 11:00 às 22:30', 'Sábado - 11:00 às 22:30', 'Domingo - 11:00 às 22:30'];['entradas', 'pizza', 'pratos executivos', 'frutos do mar', 'para compartilhar', 'cozinha chinesa - pratos para 1 pessoa', 'combinado de salmão', 'salgados', 'japonês', 'combos', 'pizza doce'];;
Stive Burger'rs;https://www.ifood.com.br/delivery/igarassu-pe/stive-burgerrs-agamenon-magalhaes/967617a2-cc80-47a0-a415-3fa6d27b9811;Rua Violeta, 342 - Agamenon Magalhães;Igarassu - PE;53640-470;41.152.779/0001-48;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 11:00 às 23:00'];"[""stive burger'rs"", 'combo 2.0', 'clone', 'bebidas']";;
Familia Eurico;https://www.ifood.com.br/delivery/igarassu-pe/familia-eurico-centro/4775e626-1ecc-4061-b13a-a7723627ef40;Avenida Mário Melo, 20 - Centro;Igarassu - PE;53659-899;33.984.508/0001-20;['Segunda-feira - 17:00 às 22:45', 'Terça-feira - 17:00 às 22:45', 'Quarta-feira - 17:00 às 22:45', 'Quinta-feira - 17:00 às 22:45', 'Sexta-feira - 17:00 às 22:45', 'Sábado - 17:00 às 22:45', 'Domingo - 17:00 às 22:45'];['pizzas grandes', 'hamburguer', 'refrigerante', 'sucos'];;
Nosso Boteco 1;https://www.ifood.com.br/delivery/igarassu-pe/nosso-boteco-1-centro/f64a4eda-bb8c-435e-88f5-cd0fedb61652;Pe 35, 222 - Centro;Igarassu - PE;53610-530;12.784.935/0002-76;['Segunda-feira - Não abre', 'Terça-feira - 09:15 às 22:30', 'Quarta-feira - 09:15 às 22:30', 'Quinta-feira - 09:15 às 22:30', 'Sexta-feira - 09:15 às 22:00', 'Sábado - 09:15 às 22:30', 'Domingo - 09:15 às 22:30'];['destaques', 'almoço', 'refeições', 'cuscuz recheado nosso boteco', 'pratos completos', 'petisco', 'super combos com produtos coca-cola', 'combos promocionais', 'clones de pizzas', 'pizzas', 'sucos', 'bebidas', 'cervejas', 'sobremesas', 'combos triplos'];;
