NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio
Pitstopburguer;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pitstopburguer-matinha/bd53712c-8a28-4b14-b9b2-bc739e29bb2e;Travessa Rosa Pereira da Cruz, 49 - Matinha;Abreu e Lima - PE;53585-271;37.857.094/0001-20;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['acompanhamentos', 'adicionais', 'bebidas', 'combos', 'hambúrguer']
Brasa Burguer;https://www.ifood.com.br/delivery/abreu-e-lima-pe/brasa-burguer-desterro-de-abreu-lima/40be9acf-db50-46f5-88e2-f377174f0503;Rua Princesa Isabel, 475 - Desterro de Abreu Lima;Abreu e Lima - PE;53570-110;31.533.494/0001-01;['Segunda-feira - Não abre', 'Terça-feira - 00:00 às 04:00 - 06:00 às 23:59', 'Quarta-feira - 00:00 às 23:59', 'Quinta-feira - 00:00 às 03:00 - 06:00 às 23:59', 'Sexta-feira - 00:00 às 04:00 - 06:00 às 23:59', 'Sábado - 17:00 às 23:59', 'Domingo - Não abre'];['-']
Pape Creppe.;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pape-creppe-matinha/18be9723-69be-42f0-94e3-0988642c7f24;Travessa da Felicidade, 302 - Matinha;Abreu e Lima - PE;53580-521;32.928.101/0001-13;['Segunda-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Terça-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Quarta-feira - Não abre', 'Quinta-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Sexta-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Sábado - Não abre', 'Domingo - Não abre'];['crepes doces', 'crepes  salgados']
Burger Nordestino;https://www.ifood.com.br/delivery/abreu-e-lima-pe/burger-nordestino-desterro/5f3e43c7-3f7f-4e32-a538-9f182733340c;Rua Boa Sorte, 160 - Desterro;Abreu e Lima - PE;53570-133;42.250.831/0001-61;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 17:45 às 22:45', 'Quarta-feira - 17:15 às 23:00', 'Quinta-feira - 15:30 às 22:30', 'Sexta-feira - 17:00 às 22:45', 'Sábado - 18:00 às 23:00', 'Domingo - 17:00 às 23:00'];['acompanhamentos']
Borges Pizza;https://www.ifood.com.br/delivery/abreu-e-lima-pe/borges-pizza-desterro/e9e83384-4150-4fc3-80e6-4dc97363eb8b;Rua Rosa Pereira da Cruz, 94 - Desterro;Abreu e Lima - PE;53570-255;20.464.463/0001-11;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['pizza', 'clone de pastel', 'clone de pizza']
Jr Lanches;https://www.ifood.com.br/delivery/abreu-e-lima-pe/jr-lanches-desterro/7a82d850-7ba8-44d3-911b-b9c628c2df60;Rua Luiz Inácio da Silva, 25 - Desterro;Abreu e Lima - PE;53570-024;36.512.679/0001-45;['Segunda-feira - 16:00 às 23:30', 'Terça-feira - 16:00 às 23:30', 'Quarta-feira - 16:00 às 23:30', 'Quinta-feira - 16:00 às 23:30', 'Sexta-feira - 16:00 às 23:30', 'Sábado - 16:00 às 23:30', 'Domingo - 04:00 às 05:00 - 16:00 às 23:30'];['caldinho', 'empadas salgadas', 'fritura', 'hamburgue artesanal', 'hambúrguer goumet', 'salgados', 'bebidas', 'vitaminas']
R&j Refeições;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rj-refeicoes-desterro/2ce829d6-da45-4edd-a168-86be61a46102;Rua Luiz Inácio da Silva, 137 - Desterro;Abreu e Lima - PE;53570-024;39.621.074/0001-80;['Segunda-feira - 10:30 às 15:00 - 18:00 às 23:00', 'Terça-feira - 10:30 às 15:00 - 18:00 às 23:00', 'Quarta-feira - 10:30 às 15:00 - 18:00 às 23:00', 'Quinta-feira - 10:30 às 15:00 - 18:00 às 23:00', 'Sexta-feira - 10:30 às 15:00 - 18:00 às 23:00', 'Sábado - 10:30 às 15:00 - 18:00 às 23:00', 'Domingo - 11:00 às 14:00 - 18:00 às 23:00'];['prato do dia', 'pratos montados']
Panquecas Delivery;https://www.ifood.com.br/delivery/abreu-e-lima-pe/panquecas-delivery-desterro/69792e2c-ab38-45ba-b9a2-301680b63cad;Rua Rosa Pereira da Cruz, 23 - Desterro;Abreu e Lima - PE;53565-560;40.846.880/0001-36;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - 18:00 às 23:00', 'Domingo - Não abre'];['bebidas']
Cia do Sabor Igarassu;https://www.ifood.com.br/delivery/igarassu-pe/cia-do-sabor-igarassu-agamenon-magalhaes/1bceac7e-811c-479c-8d88-3272f6b9687b;Avenida Italia, 87 - Agamenon Magalhães;Igarassu - PE;53640-590;30.276.450/0001-72;['Segunda-feira - 18:00 às 21:45', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['pegue seu código de r$10 de desconto', 'sanduíches', 'pastéis recheados', 'salgados', 'açaí', 'acompanhamentos', 'bebidas refrigerantes', 'sucos']
Raiz da Terra;https://www.ifood.com.br/delivery/abreu-e-lima-pe/raiz-da-terra-boa-esperanca/4711ccfa-b289-4b4e-968d-4b531dd62ded;Rua São João Batista, 624 - Boa Esperança;Abreu e Lima - PE;53580-365;40.237.451/0001-61;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 11:00 às 14:00 - 18:00 às 23:00', 'Domingo - 11:00 às 15:00 - 18:00 às 23:00'];['-']
Baião  de Dois;https://www.ifood.com.br/delivery/abreu-e-lima-pe/baiao--de-dois-desterro/0846edc3-9587-4d2d-b7a9-e63c668f5337;Rua Boa Sorte, 701 - Desterro;Abreu e Lima - PE;53570-110;34.124.183/0001-79;['Segunda-feira - 00:00 às 04:00 - 10:00 às 23:59', 'Terça-feira - 00:00 às 04:00 - 10:00 às 23:59', 'Quarta-feira - 00:00 às 04:00 - 10:00 às 23:59', 'Quinta-feira - 00:00 às 04:00 - 10:00 às 23:59', 'Sexta-feira - 00:00 às 04:00 - 10:00 às 23:59', 'Sábado - 00:00 às 04:00 - 10:00 às 23:59', 'Domingo - 10:00 às 23:59'];['pratos']
Pimenta Rosa Delivery;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pimenta-rosa-delivery-desterro/166d55f8-d10b-4536-b9d4-713626e50cde;Travessa Doutor Walter Bellian, 55 - Desterro;Abreu e Lima - PE;53570-021;36.151.988/0001-37;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Sexta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Sábado - 11:00 às 15:00 - 18:00 às 23:00', 'Domingo - 11:00 às 15:00 - 18:00 às 23:00'];['cuscuz ']
The Best Açaíteria & Hambúrgueria;https://www.ifood.com.br/delivery/igarassu-pe/the-best-acaiteria--hamburgueria-sitio-historico/581af570-8425-49eb-9529-026d05235522;Rua Marechal Hermes, 30 - Sítio Histórico;Igarassu - PE;53610-550;40.748.263/0001-06;['Segunda-feira - 16:30 às 22:30', 'Terça-feira - 16:30 às 22:30', 'Quarta-feira - 16:30 às 22:30', 'Quinta-feira - 16:30 às 22:30', 'Sexta-feira - 16:30 às 22:30', 'Sábado - 16:30 às 22:30', 'Domingo - 16:00 às 22:30'];['hambúrgueres artesanais', 'combos', 'açai', 'bebidas']
Liz Caseiros;https://www.ifood.com.br/delivery/igarassu-pe/liz-caseiros-agamenon-magalhaes/a0e17423-bb31-46e7-9333-32fed248a2ca;Rua Bolonha, 132 - Agamenon Magalhães;Igarassu - PE;53640-122;43.969.395/0001-48;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['-']
Culinária do Chef;https://www.ifood.com.br/delivery/abreu-e-lima-pe/culinaria-do-chef-desterro/bce5f658-31f0-4089-8073-15b1f7000ca7;Rua Alameda Algodão do Mato, 337 - Desterro;Abreu e Lima - PE;53575-108;36.963.811/0001-35;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['salgados', 'hambúrgueres', 'bebidas']
S.i.j Delivery;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sij-delivery-desterro/eb29d042-5e6e-4172-96b4-d8643991e286;Rua Boa Sorte, 700 - Desterro;Abreu e Lima - PE;53570-110;35.209.738/0001-48;['Segunda-feira - 11:00 às 15:00', 'Terça-feira - 11:00 às 15:00', 'Quarta-feira - 11:00 às 15:00', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 11:00 às 15:00', 'Sábado - Não abre', 'Domingo - Não abre'];['-']
Rei Burguer;https://www.ifood.com.br/delivery/igarassu-pe/rei-burguer-agamenon-magalhaes/c4215f14-6dfd-4544-b881-97c9d800a727;Rua Arezzo, 7 - Agamenon Magalhães;Igarassu - PE;53640-146;46.342.433/0001-26;['Segunda-feira - Não abre', 'Terça-feira - 18:30 às 23:00', 'Quarta-feira - 18:30 às 23:00', 'Quinta-feira - 18:30 às 23:00', 'Sexta-feira - 18:30 às 23:00', 'Sábado - 18:30 às 23:00', 'Domingo - 18:00 às 23:00'];['destaques', 'hambúrguer tradicional', 'almoço', 'petiscos', 'espetinhos']
Comedoria É Massa;https://www.ifood.com.br/delivery/igarassu-pe/comedoria-e-massa-centro/3cb97da0-6596-4003-a810-ae2c58a0a9b3;Rua Florenca, 2 - Centro;Igarassu - PE;53640-031 ;31.117.728/0001-21;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 08:00 às 09:00', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['-']
Açúcar e Afeto;https://www.ifood.com.br/delivery/igarassu-pe/acucar-e-afeto-agamenon-magalhaes/64ec3be0-1543-4b87-839d-77762cb268b4;-;-;-;-;['Segunda-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Terça-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Quarta-feira - 12:00 às 23:00', 'Quinta-feira - 12:00 às 23:00', 'Sexta-feira - 12:00 às 21:00', 'Sábado - 15:00 às 22:00', 'Domingo - 12:00 às 21:00'];['-']
Madrugão Burguer;https://www.ifood.com.br/delivery/igarassu-pe/madrugao-burguer-agamenon-magalhaes/65e9518a-6ec0-41a0-a402-5f3b33d8dd6f;-;-;-;-;['Segunda-feira - 00:00 às 03:00 - 17:00 às 23:59', 'Terça-feira - 00:00 às 03:00 - 21:15 às 23:59', 'Quarta-feira - 21:45 às 23:59', 'Quinta-feira - 00:00 às 03:15 - 17:00 às 23:59', 'Sexta-feira - 00:00 às 03:00 - 17:00 às 23:59', 'Sábado - 00:00 às 03:00 - 17:00 às 23:59', 'Domingo - 00:00 às 03:00 - 21:00 às 23:59'];['lanches', 'bebidas']
Delícias da Dani;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-dani-agamenon-magalhaes/2393573c-9738-4961-bc12-653d91e00122;Rua Malta, 37 - Agamenon Magalhães;Igarassu - PE;53640-022;39.409.764/0001-70;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 12:15 às 17:45', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['salgados']
Pizzaria Rosas de Italia;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-rosas-de-italia-santa-maria/c3059c35-937f-4226-b723-5c72752895aa;Rua Malta, 73 - Santa Maria;Igarassu - PE;53640-022;18.175.438/0001-76;['Segunda-feira - Não abre', 'Terça-feira - 11:00 às 14:00 - 17:45 às 21:45', 'Quarta-feira - 11:00 às 14:00 - 17:45 às 21:45', 'Quinta-feira - 11:00 às 14:00 - 17:45 às 21:45', 'Sexta-feira - 11:00 às 14:00 - 17:00 às 22:00', 'Sábado - 11:00 às 14:00 - 17:00 às 22:00', 'Domingo - 11:00 às 14:00 - 17:00 às 22:00'];['bebidas', 'porções']
Açai Delais;https://www.ifood.com.br/delivery/abreu-e-lima-pe/acai-delais-fosfato/8c570553-28d0-4248-890f-e4247c8b0577;Rua Dom Pedro Primeiro, 3 - Fosfato;Abreu e Lima - PE;53585-760;47.971.979/0001-09;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 11:00 às 18:00'];['adicionais', 'açaí na tigela']
Piratas Burguer Oficial;https://www.ifood.com.br/delivery/abreu-e-lima-pe/piratas-burguer-oficial-matinha/5b32556f-61a8-41a8-b81b-5f734397ecaa;Rua Sebastião Gomes de Melo, 349 - Matinha;Abreu e Lima - PE;53585-200;43.240.579/0001-72;['Segunda-feira - 00:00 às 01:00 - 17:30 às 23:59', 'Terça-feira - 00:00 às 01:00 - 17:30 às 23:59', 'Quarta-feira - 00:00 às 01:00 - 17:30 às 23:59', 'Quinta-feira - 00:00 às 01:00', 'Sexta-feira - 17:30 às 23:59', 'Sábado - 00:00 às 01:00 - 17:30 às 23:59', 'Domingo - 00:00 às 01:00 - 17:30 às 23:59'];['clone de pizzas', 'balde de frango crocante', 'pizzas', 'petiscos', 'hambúrguer', 'combos de hambúrguer', 'açais', 'bebidas']
Doce Infância & Cia;https://www.ifood.com.br/delivery/igarassu-pe/doce-infancia--cia-agamenon-magalhaes/11c8c4e3-691f-474b-9fa1-1e68643b2767;Rua Cerejeira, 192 - Agamenon Magalhães;Igarassu - PE;53640-086;36.253.751/0001-67;['Segunda-feira - Não abre', 'Terça-feira - 11:00 às 22:00', 'Quarta-feira - 11:00 às 22:00', 'Quinta-feira - 12:00 às 22:00', 'Sexta-feira - 12:00 às 22:00', 'Sábado - 12:00 às 22:00', 'Domingo - 11:00 às 21:00'];['lanches da tarde']
Guria Nordestina Confeitaria Gaúcha;https://www.ifood.com.br/delivery/abreu-e-lima-pe/guria-nordestina-confeitaria-gaucha-matinha/14d5acc6-c9ee-4f58-917b-d43963ed8e46;Rua Sebastião Gomes de Melo, 3 - Matinha;Abreu e Lima - PE;53585-200;46.086.516/0001-00;['Segunda-feira - 16:00 às 23:59', 'Terça-feira - 16:00 às 23:59', 'Quarta-feira - 16:00 às 23:59', 'Quinta-feira - 16:00 às 23:59', 'Sexta-feira - 16:00 às 23:59', 'Sábado - 16:00 às 23:59', 'Domingo - Não abre'];['copo de felicidade', 'empada na marmita']
Ml Caseiros;https://www.ifood.com.br/delivery/igarassu-pe/ml-caseiros-agamenon-magalhaes/38760c8e-8996-4392-9ad5-a08f3f39a779;-;-;-;-;['Segunda-feira - 11:15 às 15:00 - 18:00 às 22:00', 'Terça-feira - 11:15 às 15:00 - 18:00 às 22:00', 'Quarta-feira - 11:15 às 15:00 - 18:00 às 22:00', 'Quinta-feira - 11:15 às 15:00 - 18:00 às 22:00', 'Sexta-feira - 11:15 às 15:00 - 18:00 às 22:00', 'Sábado - 11:15 às 15:15 - 18:00 às 22:00', 'Domingo - Não abre'];['jantar apartir das 18:00', 'almoço']
Coxinhas Abreu;https://www.ifood.com.br/delivery/abreu-e-lima-pe/coxinhas-abreu-matinha/9097a3f7-beca-4155-989e-b67903091cb7;Rua Sebastião Gomes de Melo, 74 - Matinha;Abreu e Lima - PE;53585-200;37.114.157/0001-58;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 16:00 às 23:00', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - 11:00 às 14:00 - 16:00 às 23:00'];['refrigerantes', 'coxinhas de frango', 'lasanha sabores']
Cris Açaiteria;https://www.ifood.com.br/delivery/igarassu-pe/cris-acaiteria-santa-rita/b3c5f34c-8ba4-4453-9e3e-b0123d51f321;Rua José Antônio de Santana, 140 - Santa Rita;Igarassu - PE;53620-763;46.592.718/0001-15;['Segunda-feira - 12:00 às 15:00 - 19:00 às 23:00', 'Terça-feira - 12:00 às 15:00 - 17:30 às 22:00', 'Quarta-feira - 12:00 às 15:00 - 17:30 às 22:00', 'Quinta-feira - 12:00 às 15:00 - 17:30 às 22:00', 'Sexta-feira - 11:00 às 15:00 - 17:30 às 22:00', 'Sábado - 12:00 às 22:00', 'Domingo - 12:00 às 22:00'];['destaques', 'açaí tradicional']
Jj Galetos;https://www.ifood.com.br/delivery/abreu-e-lima-pe/jj-galetos-boa-esperanca/487de182-cf49-4bc4-9e7b-316e4c01580d;Rua Silva Jardim, 103 - Boa Esperança;Abreu e Lima - PE;53580-370;42.614.017/0001-89;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 09:00 às 17:00', 'Sexta-feira - Não abre', 'Sábado - 09:00 às 22:00', 'Domingo - 09:00 às 21:00'];['galeto', 'bebidas', 'almoço']
China Yakibium;https://www.ifood.com.br/delivery/abreu-e-lima-pe/china-yakibium-desterro/a111ff44-adbd-4626-88f5-4de4b0f36c21;Rua Manoel de Santana, 304 - Desterro;Abreu e Lima - PE;53570-145;39.746.908/0001-84;['Segunda-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['comida chinesa']
Luddy's Patisserie;https://www.ifood.com.br/delivery/abreu-e-lima-pe/luddys-patisserie-boa-esperanca/d1eaa1a6-0f4e-45ac-a4dd-d8c98fa714b1;Rua Silva Jardim, 54 - Boa Esperança;Abreu e Lima - PE;53580-370;42.196.773/0001-35;['Segunda-feira - Não abre', 'Terça-feira - 15:00 às 21:30', 'Quarta-feira - 15:00 às 21:30', 'Quinta-feira - 15:00 às 21:30', 'Sexta-feira - 15:00 às 21:30', 'Sábado - 15:00 às 21:30', 'Domingo - 15:00 às 21:30'];['destaques', 'donuts', 'bolo caseirão', 'bolo de pote', 'bolo vulcão', 'sanduiche de brownie', 'brownie', 'copo explosão', 'coxinha', 'croissant', 'docinhos', 'empada', 'monocheesecake', 'monoporção', 'pão delícia', 'tartelette', 'torta premium', 'torta tradicional', 'para levar', 'para beber', 'folhado']
O Tempero Regional;https://www.ifood.com.br/delivery/abreu-e-lima-pe/o-tempero-regional-matinha/7f99f6e5-1cc1-4d4f-b2d7-fa7e448a5014;Leonildo Pessoa, 8 - Matinha;Abreu e Lima - PE;53570-145;31.346.750/0001-43;['Segunda-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Terça-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Quarta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Quinta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Sexta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Sábado - 11:00 às 15:00 - 18:00 às 23:00', 'Domingo - 11:00 às 15:00 - 18:00 às 23:00'];['pratos do dia']
Donna Irene Café;https://www.ifood.com.br/delivery/igarassu-pe/donna-irene-cafe-centro/e749a126-ad8c-4862-8b4f-69d2b915281e;Rua Doutor Jose Elisio, 94 - Centro;Igarassu - PE;53610-060;31.645.126/0001-47;['Segunda-feira - 09:00 às 21:00', 'Terça-feira - 09:00 às 21:00', 'Quarta-feira - 09:00 às 21:00', 'Quinta-feira - 09:00 às 21:00', 'Sexta-feira - 09:00 às 21:00', 'Sábado - 17:30 às 22:00', 'Domingo - Não abre'];['salgados', 'café', 'águas', 'refrigerantes', 'sucos', 'açaí']
Lone Açai;https://www.ifood.com.br/delivery/abreu-e-lima-pe/lone-acai-matinha/9ec64ea6-9c69-4363-a1c2-5cbb48bf8866;Rua Henrique Dias, 360 - Matinha;Abreu e Lima - PE;53565-350;35.003.994/0001-84;['Segunda-feira - Não abre', 'Terça-feira - 09:00 às 18:00', 'Quarta-feira - 09:00 às 18:00', 'Quinta-feira - 09:00 às 18:00', 'Sexta-feira - 09:00 às 18:00', 'Sábado - 09:00 às 18:00', 'Domingo - 00:00 às 03:00 - 09:00 às 17:00'];['petiscos', 'vinhos', 'refrigerantes', 'destilados', 'outros', 'açai']
Tapioca Raízes do Sertão;https://www.ifood.com.br/delivery/abreu-e-lima-pe/tapioca-raizes-do-sertao-boa-esperanca/18493413-ed78-4e5f-9ec0-41a039be6580;Rua Vinte e Quatro de Agosto, 41 - Boa Esperança;Abreu e Lima - PE;53580-390;12.071.160/0001-00;['Segunda-feira - 19:00 às 19:45', 'Terça-feira - 16:45 às 19:30', 'Quarta-feira - 08:00 às 10:00 - 16:45 às 19:45', 'Quinta-feira - 08:00 às 10:00 - 16:45 às 19:45', 'Sexta-feira - 16:45 às 19:30', 'Sábado - Não abre', 'Domingo - Não abre'];['salgados', 'tapiocas salgadas', 'tapiocas doces', 'bebidas']
Fred's Pizza;https://www.ifood.com.br/delivery/abreu-e-lima-pe/freds-pizza-alto-sao-miguel/d2d5f37a-b4c4-437d-baa1-447fdb26fe34;Rua Henrique Dias, 612 - Alto São Miguel;Abreu e Lima - PE;53565-350;22.201.566/0001-14;['Segunda-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Terça-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Quarta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Quinta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Sexta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Sábado - 11:00 às 15:00 - 18:00 às 23:00', 'Domingo - 11:00 às 15:00 - 18:00 às 23:00'];['pizzas', 'calzones']
Tavares Burguer;https://www.ifood.com.br/delivery/igarassu-pe/tavares-burguer-agamenon-magalhaes/502b198a-3435-4ed6-8dcd-2f04b2f7c06a;Rua Frei Galvão, 144 - Agamenon Magalhães;Igarassu - PE;53640-203;42.369.320/0001-63;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['destaques', 'smashs', 'os desejados', 'combos especiais', 'batatas', 'refrigerantes']
Kit Festa Bem Casado Salgaderia e Doceria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/kit-festa-bem-casado-salgaderia-e-doceria-boa-esperanca/bafe48ca-3bb4-4a4e-b6ee-639a2e210928;Rua Rio Solimões, 976 - Boa Esperança;Abreu e Lima - PE;53580-320;26.426.220/0001-75;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['combo', 'salgados', 'doces', 'refrigerante lata350ml']
Sucfit;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sucfit-matinha/23ec4a81-5df1-4a80-b0fa-44803e27e36b;Avenida Salgueiro, 0 - Matinha;Abreu e Lima - PE;53585-255;32.344.596/0001-33;['Segunda-feira - 08:00 às 19:30', 'Terça-feira - 08:00 às 19:30', 'Quarta-feira - 08:00 às 19:30', 'Quinta-feira - 08:00 às 19:30', 'Sexta-feira - 08:00 às 19:30', 'Sábado - 08:00 às 19:30', 'Domingo - Não abre'];['sucos']
